Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster Category,Booster landing,Class,Date,Time
51,KSC LC-39A,Bangabandhu-1,3600,GTO,Thales-Alenia,Success,F9 B5B1046.1,B5,Success,1,11-May-18,20:14
52,VAFB SLC-4E,Iridium NEXT,6460,Polar,Iridium Communications,Success,F9 B4B1043.2,B4,No attempt,0,22-May-18,19:47
53,CCAFS SLC-40,SES-12,5384,GTO,SES,Success,F9 B4B1040.2,B4,No attempt,0,4-Jun-18,4:45
54,CCAFS SLC-40,SpaceX CRS-15,2697,LEO,NASA,Success,F9 B4B1045.2,B4,No attempt,0,29-Jun-18,9:42
55,CCAFS SLC-40,Telstar 19V,7075,GTO,Telesat,Success,F9 B5,B5,Success,1,22-Jul-18,5:50
56,VAFB SLC-4E,Iridium NEXT,9600,Polar,Iridium Communications,Success,F9 B5B1048,B5,Success,1,25-Jul-18,11:39
57,CCAFS SLC-40,Merah Putih,5800,GTO,Telkom Indonesia,Success,F9 B5B1046.2,B5,Success,1,7-Aug-18,5:18
58,CCAFS SLC-40,Telstar 18V,7060,GTO,Telesat,Success,F9 B5,B5,Success,1,10-Sep-18,4:45
59,VAFB SLC-4E,SAOCOM 1A,3000,SSO,CONAE,Success,F9 B5B1048.2,B5,Success,1,8-Oct-18,2:22
60,KSC LC-39A,Es'hail 2,5300,GTO,Es'hailSat,Success,F9 B5B1047.2,B5,Success,1,15-Nov-18,20:46
61,VAFB SLC-4E,SSO-A,4000,SSO,Spaceflight Industries,Success,F9 B5B1046.3,B5,Success,1,3-Dec-18,18:34:05
62,CCAFS SLC-40,SpaceX CRS-16,2500,LEO,NASA,Success,F9 B5,B5,Failure,0,5-Dec-18,18:16
63,CCAFS SLC-40,GPS III,4400,MEO,USAF,Success,F9 B5,B5,No attempt,0,23-Dec-18,13:51
64,VAFB SLC-4E,Iridium NEXT,9600,Polar,Iridium Communications,Success,F9 B5B1049.2,B5,Success,1,11-Jan-19,15:31
65,CCAFS SLC-40,Nusantara Satu,4850,GTO,PSN,Success,F9 B5B1048.3,B5,Success,1,22-Feb-19,1:45
66,KSC LC-39A,Crew Dragon Demo-1,12055,LEO,NASA,Success,F9 B5[268],B5,Success,1,2-Mar-19,7:49
67,CCAFS SLC-40,SpaceX CRS-17,2495,LEO,NASA,Success,F9 B5,B5,Success,1,4-May-19,6:48
68,CCAFS SLC-40,Starlink,13620,LEO,SpaceX,Success,F9 B5B1049.3,B5,Success,1,24-May-19,2:30
69,VAFB SLC-4E,RADARSAT Constellation,4200,SSO,Canadian Space Agency,Success,F9 B5B1051.2,B5,Success,1,12-Jun-19,14:17
70,CCAFS SLC-40,SpaceX CRS-18,2268,LEO,NASA,Success,F9 B5B1056.2,B5,Success,1,25-Jul-19,22:01
71,CCAFS SLC-40,AMOS-17,6500,GTO,Spacecom,Success,F9 B5B1047.3,B5,No attempt,0,6-Aug-19,23:23
72,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5,B5,Success,1,11-Nov-19,14:56
73,CCAFS SLC-40,SpaceX CRS-19,2617,LEO,NASA,Success,F9 B5,B5,Success,1,5-Dec-19,17:29
74,CCAFS SLC-40,JCSat-18,6956,GTO,Sky Perfect JSAT,Success,F9 B5B1056.3,B5,Success,1,17-Dec-19,0:10
75,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5,B5,Success,1,7-Jan-20,2:19:21
76,KSC LC-39A,Crew Dragon in-flight abort test,12050,Sub-orbital,NASA,Success,F9 B5,B5,No attempt,0,19-Jan-20,15:30
77,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5,B5,Success,1,29-Jan-20,14:07
78,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5,B5,Failure,0,17-Feb-20,15:05
79,CCAFS SLC-40,SpaceX CRS-20,1977,LEO,NASA,Success,F9 B5,B5,Success,1,7-Mar-20,4:50
80,KSC LC-39A,Starlink,15600,LEO,SpaceX,Success,F9 B5,B5,Failure,0,18-Mar-20,12:16
81,KSC LC-39A,Starlink,15600,LEO,SpaceX,Success,F9 B5,B5,Success,1,22-Apr-20,19:30
82,KSC LC-39A,Crew Dragon Demo-2,12530,LEO,NASA,Success,F9 B5,B5,Success,1,30-May-20,19:22
83,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5,B5,Success,1,4-Jun-20,1:25
84,CCAFS SLC-40,Starlink,15410,LEO,SpaceX,Success,F9 B5,B5,Success,1,13-Jun-20,9:21
85,CCAFS SLC-40,GPS III,4311,MEO,U.S. Space Force,Success,F9 B5,B5,Success,1,30-Jun-20,20:10:46
86,CCAFS SLC-40,ANASIS-II,5500,GTO,Republic of Korea Army,Success,F9 B5B1058.2,B5,Success,1,20-Jul-20,21:30
87,KSC LC-39A,Starlink,14932,LEO,SpaceX,Success,F9 B5,B5,Success,1,7-Aug-20,5:12
88,CCAFS SLC-40,Starlink,15440,LEO,SpaceX,Success,F9 B5B1049.6,B5,Success,1,18-Aug-20,14:31
89,CCAFS SLC-40,SAOCOM 1B,3130,SSO,CONAE,Success,F9 B5,B5,Success,1,30-Aug-20,23:18
90,KSC LC-39A,Starlink,15600,LEO,SpaceX,Success,F9 B5B1060.2,B5,Success,1,3-Sep-20,12:46:14
91,KSC LC-39A,Starlink,15600,LEO,SpaceX,Success,F9 B5B1058.3,B5,Success,1,6-Oct-20,11:29:34
92,KSC LC-39A,Starlink,15600,LEO,SpaceX,Success,F9 B5B1051.6,B5,Success,1,18-Oct-20,12:25:57
93,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5,B5,Success,1,24-Oct-20,15:31:34
94,CCAFS SLC-40,GPS III,4311,MEO,USSF,Success,F9 B5,B5,Success,1,5-Nov-20,23:24:23
95,KSC LC-39A,Crew-1,12500,LEO,NASA,Success,F9 B5,B5,Success,1,16-Nov-20,0:27
96,VAFB SLC-4E,Sentinel-6 Michael Freilich (Jason-CS A),1192,LEO,NASA,Success,F9 B5,B5,Success,1,21-Nov-20,17:17:08
97,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5 ♺,B5,Success,1,25-Nov-20,2:13
98,KSC LC-39A,SpaceX CRS-21,2972,LEO,NASA,Success,F9 B5 ♺,B5,Success,1,6-Dec-20,16:17:08
99,CCAFS SLC-40,SXM-7,7000,GTO,Sirius XM,Success,F9 B5 ♺,B5,Success,1,13-Dec-20,17:30:00
100,CCAFS SLC-40,Türksat 5A,3500,GTO,Türksat,Success,F9 B5,B5,Success,1,8-Jan-21,2:15
101,KSC LC-39A,Starlink,15600,LEO,SpaceX,Success,F9 B5B1051.8,B5,Success,1,20-Jan-21,13:02
102,CCAFS SLC-40,Transporter-1,5000,SSO,,Success,F9 B5B1058.5,B5,Success,1,24-Jan-21,15:00
103,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5 ♺,B5,Success,1,4-Feb-21,6:19
104,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5 ♺,B5,Failure,0,16-Feb-21,3:59:37
105,KSC LC-39A,Starlink,15600,LEO,SpaceX,Success,F9 B5 ♺,B5,Success,1,4-Mar-21,8:24
106,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5 ♺,B5,Success,1,11-Mar-21,8:13:29
107,KSC LC-39A,Starlink,15600,LEO,SpaceX,Success,F9 B5 ♺,B5,Success,1,14-Mar-21,10:01
108,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5B1060.6,B5,Success,1,24-Mar-21,8:28
109,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5 ♺,B5,Success,1,7-Apr-21,16:34
110,KSC LC-39A,Crew-2,13000,LEO,NASA,Success,F9 B5B1061.2,B5,Success,1,23-Apr-21,9:49
111,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5B1060.7,B5,Success,1,29-Apr-21,3:44
112,KSC LC-39A,Starlink,15600,LEO,SpaceX,Success,F9 B5B1049.9,B5,Success,1,4-May-21,19:01
113,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5B1051.10,B5,Success,1,9-May-21,6:42
114,KSC LC-39A,Starlink,14000,LEO,SpaceX,Success,F9 B5B1058.8,B5,Success,1,15-May-21,22:56
115,CCAFS SLC-40,Starlink,15600,LEO,SpaceX,Success,F9 B5B1063.2,B5,Success,1,26-May-21,18:59
116,KSC LC-39A,SpaceX CRS-22,3328,LEO,NASA,Success,F9 B5B1067.1,B5,Success,1,3-Jun-21,17:29
117,CCAFS SLC-40,SXM-8,7000,GTO,Sirius XM,Success,F9 B5,B5,Success,1,6-Jun-21,4:26
